
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
88:1D:FC:91:16:7F, 2019-11-25 17:14:31, 2019-11-25 17:21:24, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:82:A0, 2019-11-25 17:14:31, 2019-11-25 17:21:24, 11,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
84:3D:C6:37:3A:30, 2019-11-25 17:16:31, 2019-11-25 17:20:50, 11,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
64:F6:9D:5B:C5:00, 2019-11-25 17:19:36, 2019-11-25 17:20:11, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
70:6B:B9:89:DC:80, 2019-11-25 17:19:25, 2019-11-25 17:19:25, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:A6:CA:29:BA:20, 2019-11-25 17:18:23, 2019-11-25 17:18:23, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
C8:60:00:B1:3D:CC, 2019-11-25 17:16:59, 2019-11-25 17:17:28, 11,  -1, WPA, ,   ,  -1,        0,       41,   0.  0.  0.  0,   0, , 
88:1D:FC:88:62:20, 2019-11-25 17:15:53, 2019-11-25 17:16:00, 11,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:89:CF, 2019-11-25 17:14:22, 2019-11-25 17:16:41, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:5B:39:AE:06:E0, 2019-11-25 17:17:30, 2019-11-25 17:18:09, 11,  -1, OPN, ,   ,  -1,        0,        8,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:2D:C0, 2019-11-25 17:18:31, 2019-11-25 17:18:31, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
74:D2:1D:C3:23:70, 2019-11-25 17:16:48, 2019-11-25 17:20:17, 11,  65, WPA2, CCMP, PSK, -78,       13,        2,   0.  0.  0.  0,  19, HUAWEI Mate 10 lite, 
6C:FA:89:16:F4:50, 2019-11-25 17:20:19, 2019-11-25 17:20:19, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:F7:19:48:C8:80, 2019-11-25 17:20:30, 2019-11-25 17:20:30, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
84:3D:C6:37:3A:3F, 2019-11-25 17:16:27, 2019-11-25 17:20:57, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:1D:FC:91:16:70, 2019-11-25 17:21:20, 2019-11-25 17:21:20, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:31:00, 2019-11-25 17:14:18, 2019-11-25 17:21:50, 11, 130, WPA2, CCMP, MGT, -76,      295,      129,   0.  0.  0.  0,   7, eduroam, 
4A:45:20:D4:2A:B5, 2019-11-25 17:13:10, 2019-11-25 17:21:53, 11, 130, WPA2, CCMP, PSK, -38,     3400,        0,   0.  0.  0.  0,  25, DIRECT-OVNAOCOMPREMHPms5B, 
58:EF:68:B7:23:C1, 2019-11-25 17:07:13, 2019-11-25 17:21:53, 11,  54, WEP, WEP GCMP, OPN, -38,     5364,   155922,   0.  0.  0.  0,   7, SIO_WEP, 
58:EF:68:B7:2B:91, 2019-11-25 17:07:13, 2019-11-25 17:21:53, 11, 360, WPA2 WPA, CCMP TKIP, PSK, -19,     6941,     3583,   0.  0.  0.  0,   7, SIO_WPA, 
DC:F7:19:4D:89:C0, 2019-11-25 17:12:29, 2019-11-25 17:21:36, 11,  -1, OPN, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
DC:F7:19:3D:57:A0, 2019-11-25 17:09:33, 2019-11-25 17:21:33, 11,  -1, OPN, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
FC:5B:39:B0:17:00, 2019-11-25 17:11:34, 2019-11-25 17:21:50, 11,  -1, WPA, ,   ,  -1,        0,       71,   0.  0.  0.  0,   7, eduroam, 
74:88:BB:20:C0:E0, 2019-11-25 17:10:19, 2019-11-25 17:21:50, 11,  -1, WPA, ,   ,  -1,        0,      154,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:31:E0, 2019-11-25 17:21:32, 2019-11-25 17:21:32, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
48:4B:AA:CD:77:10, 2019-11-25 17:20:07, 2019-11-25 17:20:11, -75,       20, 64:F6:9D:5B:C5:00,
F4:BF:80:A3:78:E9, 2019-11-25 17:19:55, 2019-11-25 17:20:11, -77,       26, DC:F7:19:4D:31:00,
9C:4F:CF:02:07:4A, 2019-11-25 17:19:36, 2019-11-25 17:20:09, -85,        6, (not associated) ,HUTSPOT AVEIRO,IH,Cabovisao-CED6
DA:A1:19:56:4F:B5, 2019-11-25 17:14:25, 2019-11-25 17:19:58, -49,        6, (not associated) ,
BA:A4:0A:63:63:96, 2019-11-25 17:19:57, 2019-11-25 17:19:57, -55,        1, (not associated) ,
22:76:EF:E0:46:20, 2019-11-25 17:19:56, 2019-11-25 17:19:56, -55,        2, (not associated) ,
BA:C3:85:2C:2B:3C, 2019-11-25 17:19:56, 2019-11-25 17:19:56, -57,        3, (not associated) ,
0E:94:A9:01:7C:E2, 2019-11-25 17:19:59, 2019-11-25 17:19:59, -61,        2, (not associated) ,
02:84:B8:36:DD:A3, 2019-11-25 17:19:55, 2019-11-25 17:19:55, -65,        1, (not associated) ,
64:5D:86:4D:C7:5E, 2019-11-25 17:19:55, 2019-11-25 17:19:55, -67,        1, (not associated) ,eduroam
A0:C9:A0:DB:27:0B, 2019-11-25 17:19:57, 2019-11-25 17:19:57, -71,        1, (not associated) ,
D0:33:11:17:56:78, 2019-11-25 17:19:48, 2019-11-25 17:19:48,  -1,        4, DC:F7:19:4D:31:00,
A4:50:46:6C:A1:A1, 2019-11-25 17:12:51, 2019-11-25 17:19:46, -47,       63, (not associated) ,MEO-50E520,eduroam
2A:EE:65:DA:7A:4D, 2019-11-25 17:12:20, 2019-11-25 17:19:46, -49,        4, (not associated) ,
4C:DD:31:B3:1A:77, 2019-11-25 17:14:22, 2019-11-25 17:21:50, -59,       23, DC:F7:19:3D:57:A0,eduroam
38:53:9C:A8:E1:A8, 2019-11-25 17:12:29, 2019-11-25 17:19:45, -53,       29, DC:F7:19:4D:89:C0,eduroam
48:51:B7:AB:BB:CF, 2019-11-25 17:18:35, 2019-11-25 17:19:43, -53,        7, (not associated) ,eduroam
46:23:D3:06:82:92, 2019-11-25 17:19:45, 2019-11-25 17:19:45, -55,        2, (not associated) ,
60:F8:1D:B6:34:00, 2019-11-25 17:16:07, 2019-11-25 17:19:45, -57,        3, (not associated) ,eduroam
92:17:77:57:48:5D, 2019-11-25 17:19:47, 2019-11-25 17:19:47, -59,        1, (not associated) ,
DA:A1:19:0F:A1:B8, 2019-11-25 17:19:48, 2019-11-25 17:19:48, -69,        2, (not associated) ,
36:82:2C:A8:70:91, 2019-11-25 17:15:02, 2019-11-25 17:19:32, -21,        8, (not associated) ,
D0:57:7B:D5:2E:47, 2019-11-25 17:19:10, 2019-11-25 17:19:31, -37,        5, (not associated) ,
72:09:78:C6:44:DE, 2019-11-25 17:19:35, 2019-11-25 17:19:35, -61,        4, (not associated) ,
F2:27:91:FB:28:C9, 2019-11-25 17:19:36, 2019-11-25 17:19:36, -63,        3, (not associated) ,
DA:A1:19:9C:BB:13, 2019-11-25 17:19:35, 2019-11-25 17:19:35, -63,        2, (not associated) ,
98:2C:BC:1F:A1:35, 2019-11-25 17:17:18, 2019-11-25 17:19:36, -71,        6, (not associated) ,eduroam
02:9A:0B:BD:30:C7, 2019-11-25 17:19:34, 2019-11-25 17:19:34, -73,        1, (not associated) ,
02:D8:B0:23:F8:A7, 2019-11-25 17:19:31, 2019-11-25 17:19:31, -85,        4, (not associated) ,
52:48:6D:32:E1:38, 2019-11-25 17:19:20, 2019-11-25 17:19:20, -55,        3, (not associated) ,
44:6D:57:3B:1D:88, 2019-11-25 17:14:23, 2019-11-25 17:19:23, -55,       18, (not associated) ,eduroam
22:8D:DE:3E:96:1C, 2019-11-25 17:19:22, 2019-11-25 17:19:22, -57,        5, (not associated) ,
28:16:AD:A9:FF:92, 2019-11-25 17:14:20, 2019-11-25 17:19:23, -59,        2, (not associated) ,eduroam
E2:D3:6E:A7:68:DC, 2019-11-25 17:19:24, 2019-11-25 17:19:24, -73,        1, (not associated) ,
80:35:C1:6C:90:9C, 2019-11-25 17:16:51, 2019-11-25 17:19:19, -85,        7, FC:5B:39:B0:17:00,eduroam
F2:43:6A:3E:D7:F7, 2019-11-25 17:16:39, 2019-11-25 17:19:08, -31,       28, (not associated) ,
A0:A4:C5:CA:06:E8, 2019-11-25 17:19:07, 2019-11-25 17:19:07, -55,        1, (not associated) ,eduroam
96:8A:58:00:27:27, 2019-11-25 17:19:10, 2019-11-25 17:19:10, -57,        1, (not associated) ,
D2:16:69:97:89:4C, 2019-11-25 17:19:11, 2019-11-25 17:19:11, -61,        5, (not associated) ,
48:2C:A0:B1:E6:88, 2019-11-25 17:17:01, 2019-11-25 17:19:08, -61,       19, (not associated) ,
02:56:F2:2F:B5:6B, 2019-11-25 17:19:10, 2019-11-25 17:19:10, -67,        1, (not associated) ,
BA:1C:70:75:8F:45, 2019-11-25 17:19:09, 2019-11-25 17:19:09, -75,        1, (not associated) ,
9C:30:5B:D2:8B:BF, 2019-11-25 17:16:47, 2019-11-25 17:19:07, -77,        5, FC:5B:39:B0:17:00,eduroam
28:16:A8:6A:2D:E6, 2019-11-25 17:19:12, 2019-11-25 17:19:12, -81,        1, (not associated) ,
DA:A1:19:89:22:11, 2019-11-25 17:18:56, 2019-11-25 17:18:56, -51,        9, (not associated) ,
86:3B:FF:BB:B4:C3, 2019-11-25 17:18:59, 2019-11-25 17:18:59, -55,        1, (not associated) ,
3A:03:30:B4:41:53, 2019-11-25 17:18:58, 2019-11-25 17:18:58, -63,        1, (not associated) ,
DA:A1:19:D7:ED:85, 2019-11-25 17:18:58, 2019-11-25 17:18:58, -71,        5, (not associated) ,NOS-8AB0,I have fi407
98:22:EF:2A:F1:01, 2019-11-25 17:17:40, 2019-11-25 17:19:00, -85,        2, (not associated) ,
26:FD:52:F6:4A:33, 2019-11-25 17:14:58, 2019-11-25 17:18:45, -39,       11, (not associated) ,
AE:92:67:26:D5:CA, 2019-11-25 17:18:48, 2019-11-25 17:18:48, -55,        5, (not associated) ,
62:1B:DD:C3:D3:4D, 2019-11-25 17:18:44, 2019-11-25 17:18:44, -55,        6, (not associated) ,
C2:56:B5:8F:E4:26, 2019-11-25 17:18:47, 2019-11-25 17:18:47, -57,        1, (not associated) ,
76:BE:96:9F:52:80, 2019-11-25 17:18:44, 2019-11-25 17:18:44, -83,        2, (not associated) ,
74:EB:80:2C:1C:FE, 2019-11-25 17:18:36, 2019-11-25 17:18:44, -83,        2, (not associated) ,
F8:28:19:EF:62:01, 2019-11-25 17:17:40, 2019-11-25 17:18:45, -85,       15, 74:D2:1D:C3:23:70,
DA:A1:19:91:BE:56, 2019-11-25 17:18:34, 2019-11-25 17:18:35, -47,        3, (not associated) ,
62:04:E3:C2:92:79, 2019-11-25 17:18:34, 2019-11-25 17:18:34, -51,        5, (not associated) ,
46:BE:96:6E:45:87, 2019-11-25 17:18:32, 2019-11-25 17:18:32, -63,        5, (not associated) ,
DA:A1:19:71:50:A6, 2019-11-25 17:18:35, 2019-11-25 17:18:35, -69,        3, (not associated) ,
DA:A1:19:ED:48:B8, 2019-11-25 17:16:49, 2019-11-25 17:18:32, -69,       54, (not associated) ,eduroam
4E:F6:5D:0A:0E:D3, 2019-11-25 17:18:35, 2019-11-25 17:18:35, -73,        2, (not associated) ,
30:07:4D:5F:AA:37, 2019-11-25 17:16:48, 2019-11-25 17:18:35, -85,       13, (not associated) ,eduroam
BA:C3:85:CE:DB:CB, 2019-11-25 17:18:20, 2019-11-25 17:18:20, -45,        9, (not associated) ,
80:91:33:1E:20:73, 2019-11-25 17:13:18, 2019-11-25 17:18:22, -46,        5, (not associated) ,eduroam
DA:A1:19:FF:E8:4D, 2019-11-25 17:14:42, 2019-11-25 17:18:19, -49,       54, (not associated) ,
16:99:1B:FC:8A:FF, 2019-11-25 17:18:21, 2019-11-25 17:18:21, -51,       10, (not associated) ,
E6:A4:B5:78:62:78, 2019-11-25 17:18:24, 2019-11-25 17:18:24, -53,        8, (not associated) ,
56:AD:03:91:20:9E, 2019-11-25 17:18:23, 2019-11-25 17:18:24, -55,       10, (not associated) ,
26:27:1E:40:1C:82, 2019-11-25 17:14:23, 2019-11-25 17:18:24, -57,        9, (not associated) ,
5A:2D:9D:3D:74:22, 2019-11-25 17:18:21, 2019-11-25 17:18:21, -59,        3, (not associated) ,
DA:A1:19:24:CE:85, 2019-11-25 17:18:12, 2019-11-25 17:18:12, -43,       16, (not associated) ,
0A:94:CD:EA:EE:4F, 2019-11-25 17:18:07, 2019-11-25 17:18:08, -55,        6, (not associated) ,
9A:E6:EB:B3:6A:14, 2019-11-25 17:18:10, 2019-11-25 17:18:10, -57,        5, (not associated) ,
7A:1C:77:84:11:1E, 2019-11-25 17:17:27, 2019-11-25 17:18:12, -57,        2, (not associated) ,
2A:8A:5A:20:EA:08, 2019-11-25 17:18:10, 2019-11-25 17:18:10, -59,        3, (not associated) ,
D4:77:8D:C9:0E:65, 2019-11-25 17:18:09, 2019-11-25 17:18:09, -85,        1, (not associated) ,eduroam
6C:C7:EC:39:FA:A3, 2019-11-25 17:16:47, 2019-11-25 17:18:09, -85,       70, FC:5B:39:AE:06:E0,eduroam
DA:A1:19:13:25:44, 2019-11-25 17:18:00, 2019-11-25 17:18:00, -43,       10, (not associated) ,
BA:C3:85:B3:B4:C3, 2019-11-25 17:18:00, 2019-11-25 17:18:00, -47,        6, (not associated) ,
DA:A1:19:16:12:45, 2019-11-25 17:17:55, 2019-11-25 17:17:55, -49,        1, (not associated) ,
DA:A1:19:62:39:A1, 2019-11-25 17:17:54, 2019-11-25 17:17:55, -53,        4, (not associated) ,
B2:DF:03:10:AB:1B, 2019-11-25 17:17:55, 2019-11-25 17:17:55, -57,        3, (not associated) ,
4E:25:CD:A8:AD:3B, 2019-11-25 17:17:57, 2019-11-25 17:17:57, -59,        4, (not associated) ,
2A:4E:A4:B3:A3:D7, 2019-11-25 17:18:00, 2019-11-25 17:18:00, -63,        3, (not associated) ,
38:36:5D:11:11:E3, 2019-11-25 17:17:55, 2019-11-25 17:17:55, -77,        1, (not associated) ,eduroam
94:E9:6A:EE:A2:E4, 2019-11-25 17:17:44, 2019-11-25 17:17:45,  -1,        9, DC:F7:19:4D:31:00,
00:BF:14:50:E2:C3, 2019-11-25 17:17:46, 2019-11-25 17:17:46, -53,        1, (not associated) ,eduroam
3A:F7:B5:C6:54:2A, 2019-11-25 17:17:44, 2019-11-25 17:17:44, -61,        4, (not associated) ,
E4:A7:A0:CC:5C:4F, 2019-11-25 17:17:48, 2019-11-25 17:17:48, -67,        1, (not associated) ,eduroam
F8:E5:02:A9:2B:6D, 2019-11-25 17:17:45, 2019-11-25 17:17:45, -77,        1, (not associated) ,eduroam
20:39:56:8A:F3:00, 2019-11-25 17:17:09, 2019-11-25 17:17:44, -77,        4, (not associated) ,eduroam
F4:F5:DB:D2:43:6E, 2019-11-25 17:17:45, 2019-11-25 17:17:45, -85,        1, (not associated) ,
BC:A8:A6:CA:49:D2, 2019-11-25 17:17:43, 2019-11-25 17:17:43, -85,        4, (not associated) ,eduroam
DA:A1:19:BF:95:4C, 2019-11-25 17:17:30, 2019-11-25 17:17:31, -37,       15, (not associated) ,
DA:A1:19:79:91:45, 2019-11-25 17:17:34, 2019-11-25 17:17:34, -59,        2, (not associated) ,eduroam
A6:DD:2B:CC:36:1D, 2019-11-25 17:17:34, 2019-11-25 17:17:34, -63,        4, (not associated) ,
DA:A1:19:76:19:AE, 2019-11-25 17:17:35, 2019-11-25 17:17:35, -69,        4, (not associated) ,
DA:A1:19:1D:32:F1, 2019-11-25 17:17:35, 2019-11-25 17:17:35, -71,       23, (not associated) ,I have fi407,NOS-8AB0
7C:41:5D:91:61:12, 2019-11-25 17:17:35, 2019-11-25 17:17:35, -73,        1, (not associated) ,eduroam
DA:A1:19:81:DD:01, 2019-11-25 17:17:32, 2019-11-25 17:17:32, -85,        1, (not associated) ,
A0:56:F3:BD:F9:84, 2019-11-25 17:17:20, 2019-11-25 17:17:20,  -1,       21, DC:F7:19:4D:31:00,
70:C9:4E:E0:58:F7, 2019-11-25 17:14:27, 2019-11-25 17:17:24, -50,        5, (not associated) ,eduroam
DA:A1:19:10:F9:AD, 2019-11-25 17:17:19, 2019-11-25 17:17:19, -59,        1, (not associated) ,
D6:FC:71:07:87:1D, 2019-11-25 17:17:23, 2019-11-25 17:17:23, -61,        4, (not associated) ,
EC:E4:AE:95:E2:61, 2019-11-25 17:17:20, 2019-11-25 17:17:21, -65,        3, (not associated) ,eduroam
50:5B:C2:DC:E2:13, 2019-11-25 17:11:11, 2019-11-25 17:17:08, -48,        5, (not associated) ,eduroam
F6:78:2C:AE:3B:33, 2019-11-25 17:17:12, 2019-11-25 17:17:12, -59,        4, (not associated) ,
4E:F9:3E:6F:9C:33, 2019-11-25 17:17:07, 2019-11-25 17:17:07, -59,        2, (not associated) ,
3A:BA:6F:D1:EA:A3, 2019-11-25 17:17:10, 2019-11-25 17:17:10, -75,        7, (not associated) ,
DA:A1:19:DE:15:62, 2019-11-25 17:16:57, 2019-11-25 17:16:58, -37,       11, (not associated) ,
DA:A1:19:2C:77:D0, 2019-11-25 17:16:55, 2019-11-25 17:16:55, -41,       22, (not associated) ,LEDnetB80319
BA:C3:85:3E:3E:3E, 2019-11-25 17:16:57, 2019-11-25 17:16:57, -49,        9, (not associated) ,
C2:B7:BC:3A:33:BE, 2019-11-25 17:16:56, 2019-11-25 17:16:56, -63,        2, (not associated) ,
DA:A1:19:42:BE:D1, 2019-11-25 17:16:58, 2019-11-25 17:16:58, -69,        1, (not associated) ,
26:2A:14:A1:72:41, 2019-11-25 17:17:00, 2019-11-25 17:17:00, -71,        2, (not associated) ,
